Time,Offset
0001-01-01T00:00:00,+12:33
1901-12-13T20:45:52,-12:33
1911-01-01T11:26:56,-12:30
1950-01-01T11:30:00,-11:00
2010-09-26T11:00:00,-10:00
2011-04-02T14:00:00,-11:00
2011-09-24T14:00:00,-10:00
2011-12-30T10:00:00,+14:00
2012-03-31T14:00:00,+13:00
2012-09-29T14:00:00,+14:00
2013-04-06T14:00:00,+13:00
2013-09-28T14:00:00,+14:00
2014-04-05T14:00:00,+13:00
2014-09-27T14:00:00,+14:00
2015-04-04T14:00:00,+13:00
2015-09-26T14:00:00,+14:00
2016-04-02T14:00:00,+13:00
2016-09-24T14:00:00,+14:00
2017-04-01T14:00:00,+13:00
2017-09-23T14:00:00,+14:00
2018-03-31T14:00:00,+13:00
2018-09-29T14:00:00,+14:00
2019-04-06T14:00:00,+13:00
2019-09-28T14:00:00,+14:00
2020-04-04T14:00:00,+13:00
2020-09-26T14:00:00,+14:00
2021-04-03T14:00:00,+13:00
