Time,Offset
0001-01-01 00:00:00,+11:13
1912-01-12 12:46:44,+11:00
1973-12-22 12:00:00,+12:00
1974-03-30 12:00:00,+11:00
1983-09-24 13:00:00,+12:00
1984-03-24 12:00:00,+11:00
1984-09-22 13:00:00,+12:00
1985-03-23 12:00:00,+11:00
1985-09-28 13:00:00,+12:00
1986-03-22 12:00:00,+11:00
1986-09-27 13:00:00,+12:00
1987-03-28 12:00:00,+11:00
1987-09-26 13:00:00,+12:00
1988-03-26 12:00:00,+11:00
1988-09-24 13:00:00,+12:00
1989-03-25 12:00:00,+11:00
1989-09-23 13:00:00,+12:00
1990-03-24 12:00:00,+11:00
1990-09-22 13:00:00,+12:00
1991-03-23 12:00:00,+11:00
1991-09-28 13:00:00,+12:00
1992-01-25 12:00:00,+11:00
1992-10-24 13:00:00,+12:00
1993-01-23 12:00:00,+11:00
