Time,Offset
0001-01-01 00:00:00,+11:56
1915-10-25 12:04:16,+12:00
1998-10-31 14:00:00,+13:00
1999-02-27 14:00:00,+12:00
1999-11-06 14:00:00,+13:00
2000-02-26 14:00:00,+12:00
2009-11-28 14:00:00,+13:00
2010-03-27 14:00:00,+12:00
2010-10-23 14:00:00,+13:00
2011-03-05 14:00:00,+12:00
2011-10-22 14:00:00,+13:00
2012-01-21 14:00:00,+12:00
2012-10-20 14:00:00,+13:00
2013-01-19 14:00:00,+12:00
2013-10-26 14:00:00,+13:00
2014-01-18 13:00:00,+12:00
2014-11-01 14:00:00,+13:00
2015-01-17 14:00:00,+12:00
2015-10-31 14:00:00,+13:00
2016-01-16 14:00:00,+12:00
2016-11-05 14:00:00,+13:00
2017-01-14 14:00:00,+12:00
2017-11-04 14:00:00,+13:00
2018-01-13 14:00:00,+12:00
2018-11-03 14:00:00,+13:00
2019-01-12 14:00:00,+12:00
2019-11-09 14:00:00,+13:00
2020-01-11 14:00:00,+12:00
2020-12-19 14:00:00,+13:00
2021-01-16 14:00:00,+12:00
