Time,Offset
1901-12-13T20:45:52,+10:00
1941-12-09T14:00:00,+09:00
1944-07-30T15:00:00,+10:00
1959-06-26T16:00:00,+11:00
1961-01-28T15:00:00,+10:00
1967-08-31T16:00:00,+11:00
1969-01-25T13:01:00,+10:00
1969-06-21T16:00:00,+11:00
1969-08-30T15:00:00,+10:00
1970-04-25T16:00:00,+11:00
1970-09-05T15:00:00,+10:00
1971-04-24T16:00:00,+11:00
1971-09-04T15:00:00,+10:00
1973-12-15T16:00:00,+11:00
1974-02-23T15:00:00,+10:00
1976-05-25T16:00:00,+11:00
1976-08-21T15:01:00,+10:00
1977-04-23T16:00:00,+11:00
1977-08-27T15:00:00,+10:00
2000-12-22T14:00:00,+10:00
