Time,Offset
0001-01-01T00:00:00,+11:12
1901-12-13T20:45:52,+11:12
1950-12-31T12:48:00,+11:30
1974-10-26T14:30:00,+12:30
1975-03-01T14:30:00,+11:30
2015-10-03T14:30:00,+11:00
2019-10-05T15:00:00,+12:00
2020-04-04T15:00:00,+11:00
2020-10-03T15:00:00,+12:00
2021-04-03T15:00:00,+11:00
2021-10-02T15:00:00,+12:00
2022-04-02T15:00:00,+11:00
2022-10-01T15:00:00,+12:00
2023-04-01T15:00:00,+11:00
2023-09-30T15:00:00,+12:00
2024-04-06T15:00:00,+11:00
2024-10-05T15:00:00,+12:00
2025-04-05T15:00:00,+11:00
2025-10-04T15:00:00,+12:00
2026-04-04T15:00:00,+11:00
2026-10-03T15:00:00,+12:00
2027-04-03T15:00:00,+11:00
2027-10-02T15:00:00,+12:00
2028-04-01T15:00:00,+11:00
2028-09-30T15:00:00,+12:00
2029-03-31T15:00:00,+11:00
2029-10-06T15:00:00,+12:00
2030-04-06T15:00:00,+11:00
2030-10-05T15:00:00,+12:00
2031-04-05T15:00:00,+11:00
2031-10-04T15:00:00,+12:00
2032-04-03T15:00:00,+11:00
2032-10-02T15:00:00,+12:00
2033-04-02T15:00:00,+11:00
2033-10-01T15:00:00,+12:00
2034-04-01T15:00:00,+11:00
2034-09-30T15:00:00,+12:00
2035-03-31T15:00:00,+11:00
2035-10-06T15:00:00,+12:00
2036-04-05T15:00:00,+11:00
2036-10-04T15:00:00,+12:00
2037-04-04T15:00:00,+11:00
2037-10-03T15:00:00,+12:00
