Time,Offset
0001-01-01 00:00:00,+13:21
1901-12-13 20:45:52,-11:21
1952-10-16 10:39:04,-11:30
1978-11-12 10:30:00,-10:30
1979-03-04 09:30:00,-10:00
1979-10-28 10:00:00,-10:30
1980-03-02 09:30:00,-10:00
1980-10-26 10:00:00,-10:30
1981-03-01 09:30:00,-10:00
1981-10-25 10:00:00,-10:30
1982-03-07 09:30:00,-10:00
1982-10-31 10:00:00,-10:30
1983-03-06 09:30:00,-10:00
1983-10-30 10:00:00,-10:30
1984-03-04 09:30:00,-10:00
1984-10-28 10:00:00,-10:30
1985-03-03 09:30:00,-10:00
1985-10-27 10:00:00,-10:30
1986-03-02 09:30:00,-10:00
1986-10-26 10:00:00,-10:30
1987-03-01 09:30:00,-10:00
1987-10-25 10:00:00,-10:30
1988-03-06 09:30:00,-10:00
1988-10-30 10:00:00,-10:30
1989-03-05 09:30:00,-10:00
1989-10-29 10:00:00,-10:30
1990-03-04 09:30:00,-10:00
1990-10-28 10:00:00,-10:30
1991-03-03 09:30:00,-10:00
