Time,Offset
1901-12-13 20:45:52,+10:00
1941-12-09 14:00:00,+09:00
1944-07-30 15:00:00,+10:00
1959-06-26 16:00:00,+11:00
1961-01-28 15:00:00,+10:00
1967-08-31 16:00:00,+11:00
1969-01-25 13:01:00,+10:00
1969-06-21 16:00:00,+11:00
1969-08-30 15:00:00,+10:00
1970-04-25 16:00:00,+11:00
1970-09-05 15:00:00,+10:00
1971-04-24 16:00:00,+11:00
1971-09-04 15:00:00,+10:00
1973-12-15 16:00:00,+11:00
1974-02-23 15:00:00,+10:00
1976-05-25 16:00:00,+11:00
1976-08-21 15:01:00,+10:00
1977-04-23 16:00:00,+11:00
1977-08-27 15:00:00,+10:00
2000-12-22 14:00:00,+10:00
