Time,Offset
0001-01-01 00:00:00,+08:28
1908-03-31 15:32:08,+08:30
1911-12-31 15:30:00,+09:00
1945-09-07 15:00:00,+09:00
1948-05-31 15:00:00,+10:00
1948-09-12 14:00:00,+09:00
1949-04-02 15:00:00,+10:00
1949-09-10 14:00:00,+09:00
1950-03-31 15:00:00,+10:00
1950-09-09 14:00:00,+09:00
1951-05-05 15:00:00,+10:00
1951-09-08 14:00:00,+09:00
1954-03-20 15:00:00,+08:30
1955-05-04 15:30:00,+09:30
1955-09-08 14:30:00,+08:30
1956-05-19 15:30:00,+09:30
1956-09-29 14:30:00,+08:30
1957-05-04 15:30:00,+09:30
1957-09-21 14:30:00,+08:30
1958-05-03 15:30:00,+09:30
1958-09-20 14:30:00,+08:30
1959-05-02 15:30:00,+09:30
1959-09-19 14:30:00,+08:30
1960-04-30 15:30:00,+09:30
1960-09-17 14:30:00,+08:30
1961-08-09 15:30:00,+09:00
1987-05-09 17:00:00,+10:00
1987-10-10 17:00:00,+09:00
1988-05-07 17:00:00,+10:00
1988-10-08 17:00:00,+09:00
