Time,Offset
0001-01-01 00:00:00,+01:56
1901-12-13 20:45:52,+01:57
1910-09-30 22:03:04,+02:00
1916-04-30 22:00:00,+03:00
1916-09-30 21:00:00,+02:00
1920-03-27 22:00:00,+03:00
1920-10-24 21:00:00,+02:00
1921-04-02 22:00:00,+03:00
1921-10-02 21:00:00,+02:00
1922-03-25 22:00:00,+03:00
1922-10-07 21:00:00,+02:00
1924-05-12 22:00:00,+03:00
1924-09-30 21:00:00,+02:00
1925-04-30 22:00:00,+03:00
1925-09-30 21:00:00,+02:00
1940-06-30 22:00:00,+03:00
1940-10-05 21:00:00,+02:00
1940-11-30 22:00:00,+03:00
1941-09-20 21:00:00,+02:00
1942-03-31 22:00:00,+03:00
1945-10-07 21:00:00,+02:00
1946-05-31 22:00:00,+03:00
1946-09-30 21:00:00,+02:00
1947-04-19 22:00:00,+03:00
1947-10-04 21:00:00,+02:00
1948-04-17 22:00:00,+03:00
1948-10-02 21:00:00,+02:00
1949-04-09 22:00:00,+03:00
1949-10-01 21:00:00,+02:00
1950-04-15 22:00:00,+03:00
1950-10-07 21:00:00,+02:00
1951-04-21 22:00:00,+03:00
1951-10-06 21:00:00,+02:00
1962-07-14 22:00:00,+03:00
1963-10-29 21:00:00,+02:00
1964-05-14 22:00:00,+03:00
1964-09-30 21:00:00,+02:00
1973-06-02 23:00:00,+03:00
1973-11-03 23:00:00,+02:00
1974-03-31 00:00:00,+03:00
1974-11-02 23:00:00,+02:00
1975-03-22 00:00:00,+03:00
1975-11-01 23:00:00,+02:00
1976-03-21 00:00:00,+03:00
1976-10-30 23:00:00,+02:00
1977-04-03 00:00:00,+03:00
1977-10-15 23:00:00,+02:00
1978-04-02 00:00:00,+03:00
1978-06-28 21:00:00,+03:00
1983-07-30 23:00:00,+04:00
1983-10-01 22:00:00,+03:00
1984-10-31 23:00:00,+02:00
1985-04-19 23:00:00,+03:00
1985-09-27 23:00:00,+02:00
1986-03-29 23:00:00,+03:00
1986-09-27 23:00:00,+02:00
1987-03-28 23:00:00,+03:00
1987-09-26 23:00:00,+02:00
1988-03-26 23:00:00,+03:00
1988-09-24 23:00:00,+02:00
1989-03-25 23:00:00,+03:00
1989-09-23 23:00:00,+02:00
1990-03-24 23:00:00,+03:00
1990-09-29 23:00:00,+02:00
1991-03-30 23:00:00,+03:00
1991-09-28 23:00:00,+02:00
1992-03-28 23:00:00,+03:00
1992-09-26 23:00:00,+02:00
1993-03-27 23:00:00,+03:00
1993-09-25 23:00:00,+02:00
1994-03-19 23:00:00,+03:00
1994-09-24 23:00:00,+02:00
1995-03-25 23:00:00,+03:00
1995-09-23 23:00:00,+02:00
1996-03-30 23:00:00,+03:00
1996-10-26 23:00:00,+02:00
1997-03-29 23:00:00,+03:00
1997-10-25 23:00:00,+02:00
1998-03-28 23:00:00,+03:00
1998-10-24 23:00:00,+02:00
1999-03-27 23:00:00,+03:00
1999-10-30 23:00:00,+02:00
2000-03-25 23:00:00,+03:00
2000-10-28 23:00:00,+02:00
2001-03-24 23:00:00,+03:00
2001-10-27 23:00:00,+02:00
2002-03-30 23:00:00,+03:00
2002-10-26 23:00:00,+02:00
2003-03-29 23:00:00,+03:00
2003-10-25 23:00:00,+02:00
2004-03-27 23:00:00,+03:00
2004-10-30 23:00:00,+02:00
2005-03-26 23:00:00,+03:00
2005-10-29 23:00:00,+02:00
2006-03-25 23:00:00,+03:00
2006-10-28 23:00:00,+02:00
2007-03-25 01:00:00,+03:00
2007-10-28 01:00:00,+02:00
2008-03-30 01:00:00,+03:00
2008-10-26 01:00:00,+02:00
2009-03-29 01:00:00,+03:00
2009-10-25 01:00:00,+02:00
2010-03-28 01:00:00,+03:00
2010-10-31 01:00:00,+02:00
2011-03-28 01:00:00,+03:00
2011-10-30 01:00:00,+02:00
2012-03-25 01:00:00,+03:00
2012-10-28 01:00:00,+02:00
2013-03-31 01:00:00,+03:00
2013-10-27 01:00:00,+02:00
2014-03-31 01:00:00,+03:00
2014-10-26 01:00:00,+02:00
2015-03-29 01:00:00,+03:00
2015-11-08 01:00:00,+02:00
2016-03-27 01:00:00,+03:00
2016-09-06 21:00:00,+03:00
